Id,Label,timeset,twitter_type,lat,lng,place_country,place_type,place_fullname,place_name,created_at,lang,possibly_sensitive,quoted_status_permalink,description,email,profile_image,friends_count,followers_count,real_name,location,emoji_alias,emoji_html_decimal,emoji_utf8,modularity_class
1206540314825183232,RT @The_Kaptain8: She actually wrote the business plan for Amazon...Jeff has said this. It’s real weird that men jump on this here internet…,<[2019-12-16T11:43:29.090Z]>,Tweet,,,,,,,Mon Dec 16 12:43:22 CET 2019,en,false,https://twitter.com/shadayaknight/status/1204635556065492992,,,,,,,,,,,110
@stinkmeanersr,@stinkmeanersr,<[2019-12-16T11:43:29.090Z]>,User,,,,,,,Mon May 24 21:42:40 CEST 2010,,,,1-8 1-3 3-8. Sticky Rice Cake. 2NE1. Cody Fern fanclub founder.,,http://pbs.twimg.com/profile_images/1192660624658042880/yI84_-TA_bigger.jpg,2022,2185,Kurnel Stinkmeaner,802.11,,,,110
1205472831741542400,She actually wrote the business plan for Amazon...Jeff has said this. It’s real weird that men jump on this here internet to try and discredit women...loud and wrong https://t.co/mHkVsOubNp,"<[2019-12-16T11:43:29.091Z, 2019-12-16T11:58:26.680Z, 2019-12-16T12:08:23.752Z, 2019-12-16T12:21:19.966Z, 2019-12-16T12:31:11.160Z, 2019-12-16T12:31:36.441Z, 2019-12-16T12:31:48.364Z, 2019-12-16T12:37:50.910Z, 2019-12-16T12:40:01.902Z, 2019-12-16T12:41:22.660Z, 2019-12-16T12:55:02.760Z, 2019-12-16T12:55:22.990Z, 2019-12-16T12:57:54.811Z]>",Tweet,,,,,,,Fri Dec 13 14:01:34 CET 2019,en,false,https://twitter.com/shadayaknight/status/1204635556065492992,,,,,,,,,,,110
@the_kaptain8,@the_kaptain8,"<[2019-12-16T11:43:29.091Z, 2019-12-16T11:58:26.680Z, 2019-12-16T12:08:23.752Z, 2019-12-16T12:21:19.966Z, 2019-12-16T12:31:11.160Z, 2019-12-16T12:31:36.441Z, 2019-12-16T12:31:48.364Z, 2019-12-16T12:37:50.910Z, 2019-12-16T12:40:01.902Z, 2019-12-16T12:41:22.660Z, 2019-12-16T12:55:02.760Z, 2019-12-16T12:55:22.990Z, 2019-12-16T12:57:54.811Z]>",User,,,,,,,Wed May 26 18:35:07 CEST 2010,,,,"Educator | Writer | Creator | Activist | NUPE SP10' DeltaBeta| Building the next generation of educators, creators, leaders and thinkers IG:The_Husky_Kaptain",,http://pbs.twimg.com/profile_images/1193625997075263493/RdfsFe0E_bigger.jpg,1166,1007,Negro Militant,Mc Pluto | NYC | Harlem,,,,110
https://twitter.com/shadayaknight/status/1204635556065492992,https://twitter.com/shadayaknight/status/1204635556065492992,"<[2019-12-16T11:43:29.091Z, 2019-12-16T11:58:26.680Z, 2019-12-16T12:05:58.373Z, 2019-12-16T12:08:23.752Z, 2019-12-16T12:21:19.966Z, 2019-12-16T12:31:11.160Z, 2019-12-16T12:31:36.441Z, 2019-12-16T12:31:48.364Z, 2019-12-16T12:37:50.910Z, 2019-12-16T12:40:01.902Z, 2019-12-16T12:41:22.660Z, 2019-12-16T12:55:02.760Z, 2019-12-16T12:55:22.990Z, 2019-12-16T12:56:04.051Z, 2019-12-16T12:57:54.811Z]>",Link,,,,,,,,,,,,,,,,,,,,,110
1204635556065492992,"Richest woman in the world - Mackenzie Bezos

Net worth - $40 billion

Source of income - divorce https://t.co/ByE7O4oQAm","<[2019-12-16T11:43:29.092Z, 2019-12-16T11:43:29.093Z, 2019-12-16T11:47:12.426Z, 2019-12-16T11:47:12.427Z, 2019-12-16T11:48:22.466Z, 2019-12-16T11:54:00.808Z, 2019-12-16T11:55:13.843Z, 2019-12-16T11:58:26.680Z, 2019-12-16T11:59:26.338Z, 2019-12-16T12:05:58.373Z, 2019-12-16T12:08:10.070Z, 2019-12-16T12:08:23.753Z, 2019-12-16T12:10:55.322Z, 2019-12-16T12:19:46.764Z, 2019-12-16T12:20:01.384Z, 2019-12-16T12:20:11.673Z, 2019-12-16T12:21:19.966Z, 2019-12-16T12:26:51.371Z, 2019-12-16T12:30:34.802Z, 2019-12-16T12:31:11.160Z, 2019-12-16T12:31:12.844Z, 2019-12-16T12:31:36.441Z, 2019-12-16T12:31:48.364Z, 2019-12-16T12:32:13.922Z, 2019-12-16T12:37:50.910Z, 2019-12-16T12:38:59.115Z, 2019-12-16T12:40:01.902Z, 2019-12-16T12:41:22.660Z, 2019-12-16T12:42:50.948Z, 2019-12-16T12:51:32.613Z, 2019-12-16T12:55:02.760Z, 2019-12-16T12:55:22.990Z, 2019-12-16T12:56:04.051Z, 2019-12-16T12:56:04.052Z, 2019-12-16T12:57:54.811Z, 2019-12-16T13:00:52.836Z]>",Tweet,,,,,,,Wed Dec 11 06:34:32 CET 2019,en,false,,,,,,,,,,,,110
@shadayaknight,@shadayaknight,"<[2019-12-16T11:43:29.092Z, 2019-12-16T11:43:29.093Z, 2019-12-16T11:47:12.426Z, 2019-12-16T11:47:12.427Z, 2019-12-16T11:48:22.466Z, 2019-12-16T11:54:00.808Z, 2019-12-16T11:55:13.843Z, 2019-12-16T11:58:26.680Z, 2019-12-16T11:59:26.338Z, 2019-12-16T12:05:58.373Z, 2019-12-16T12:08:10.070Z, 2019-12-16T12:08:23.753Z, 2019-12-16T12:10:55.322Z, 2019-12-16T12:19:46.764Z, 2019-12-16T12:20:01.384Z, 2019-12-16T12:20:11.673Z, 2019-12-16T12:21:19.966Z, 2019-12-16T12:26:51.371Z, 2019-12-16T12:30:34.802Z, 2019-12-16T12:31:11.160Z, 2019-12-16T12:31:12.844Z, 2019-12-16T12:31:36.441Z, 2019-12-16T12:31:48.364Z, 2019-12-16T12:32:13.922Z, 2019-12-16T12:37:50.910Z, 2019-12-16T12:38:59.115Z, 2019-12-16T12:40:01.902Z, 2019-12-16T12:41:22.660Z, 2019-12-16T12:42:50.948Z, 2019-12-16T12:51:32.613Z, 2019-12-16T12:55:02.760Z, 2019-12-16T12:55:22.990Z, 2019-12-16T12:56:04.051Z, 2019-12-16T12:56:04.052Z, 2019-12-16T12:57:54.811Z, 2019-12-16T13:00:52.836Z]>",User,,,,,,,Sun Oct 18 16:06:31 CEST 2015,,,,ᴏɴʟʏ ❶ ᴍᴀɴ ɪɴ ᴀ ᴛʜᴏᴜsᴀɴᴅ ɪs ᴀ ʟᴇᴀᴅᴇʀ ᴏғ ᴍᴇɴ. ᴛʜᴇ ᴏᴛʜᴇʀ ❾❾❾ ғᴏʟʟᴏᴡ ᴡᴏᴍᴇɴ[]ɪ ᴀᴍ ɴᴏᴛ ʏᴏᴜʀ ᴋɪɴᴅ[]@LFC & @realmadriden & @OnePieceAnime,,http://pbs.twimg.com/profile_images/1206241667843579905/Dxi1HxmN_bigger.jpg,6202,14844,𝐅𝐞𝐥𝐥𝐚 𝐈𝐧 𝐕𝐞𝐫𝐬𝐚𝐜𝐞🍹,"East London, South Africa",,,,110
http://pbs.twimg.com/media/ELe5pQfXsAAGkoB.jpg,http://pbs.twimg.com/media/ELe5pQfXsAAGkoB.jpg,"<[2019-12-16T11:43:29.092Z, 2019-12-16T11:43:29.093Z, 2019-12-16T11:47:12.426Z, 2019-12-16T11:47:12.427Z, 2019-12-16T11:48:22.466Z, 2019-12-16T11:54:00.808Z, 2019-12-16T11:55:13.842Z, 2019-12-16T11:55:13.843Z, 2019-12-16T11:58:26.680Z, 2019-12-16T11:59:26.338Z, 2019-12-16T12:05:58.373Z, 2019-12-16T12:08:10.070Z, 2019-12-16T12:08:23.753Z, 2019-12-16T12:10:55.322Z, 2019-12-16T12:19:46.764Z, 2019-12-16T12:20:01.384Z, 2019-12-16T12:20:11.673Z, 2019-12-16T12:21:19.966Z, 2019-12-16T12:26:51.371Z, 2019-12-16T12:30:34.802Z, 2019-12-16T12:31:11.160Z, 2019-12-16T12:31:12.844Z, 2019-12-16T12:31:36.441Z, 2019-12-16T12:31:48.364Z, 2019-12-16T12:32:13.922Z, 2019-12-16T12:37:50.910Z, 2019-12-16T12:38:59.115Z, 2019-12-16T12:40:01.902Z, 2019-12-16T12:41:22.660Z, 2019-12-16T12:42:50.948Z, 2019-12-16T12:51:32.613Z, 2019-12-16T12:55:02.760Z, 2019-12-16T12:55:22.990Z, 2019-12-16T12:56:04.051Z, 2019-12-16T12:56:04.052Z, 2019-12-16T12:57:54.811Z, 2019-12-16T13:00:52.836Z]>",Media,,,,,,,,,,,,,,,,,,,,,110
1206540317148766209,"@TheFogeys @suecresswell01 The SNP's poor management of Scotland finances puts it in a tricky spot. The rest of the UK is subsidising the SNP's mismanagement to the tune of over £12b each year and this will only go up. Divorce Bill, no free movement, no BoE or Pound; SNP will see an end to Scotland.",<[2019-12-16T11:43:29.636Z]>,Tweet,,,,,,,Mon Dec 16 12:43:22 CET 2019,en,false,,,,,,,,,,,,0
@ernestereid,@ernestereid,<[2019-12-16T11:43:29.636Z]>,User,,,,,,,Sat Dec 17 15:02:05 CET 2016,,,,,,http://abs.twimg.com/sticky/default_profile_images/default_profile_bigger.png,57,183,Ernest,,,,,0
@thefogeys,@thefogeys,"<[2019-12-16T11:43:29.636Z, 2019-12-16T11:43:45.478Z, 2019-12-16T11:44:23.607Z, 2019-12-16T11:47:18.374Z, 2019-12-16T11:47:55.610Z, 2019-12-16T11:59:17.057Z, 2019-12-16T11:59:59.457Z, 2019-12-16T12:02:10.700Z, 2019-12-16T12:40:53.066Z, 2019-12-16T12:57:37.836Z, 2019-12-16T12:57:48.520Z]>",User,,,,,,,Wed Apr 13 05:59:02 CEST 2016,,,,"Prepared to listen to anyone and enjoy the rough and tumble of debating. If I'm not winding up both sides, I'm not happy. Vote Leave ... Will Keep Voting Leave.",,http://pbs.twimg.com/profile_images/1196781069430919168/raQJk4Gx_bigger.jpg,714,8012,The_Fogeys,"Gainsborough, England",,,,0
@suecresswell01,@suecresswell01,<[2019-12-16T11:43:29.636Z]>,User,,,,,,,,,,,,,,,,,,,,,0
1206540327156359168,"T'inquiètes pas, aucune chance 🙄😂",<[2019-12-16T11:43:32.005Z]>,Tweet,,,,,,,Mon Dec 16 12:43:25 CET 2019,fr,false,https://twitter.com/Taenoush/status/1206540223431270400,,,,,,,,,,,1
@parkjsaturnsah,@parkjsaturnsah,"<[2019-12-16T11:43:32.005Z, 2019-12-16T11:43:32.006Z]>",User,,,,,,,Sat Nov 09 10:47:26 CET 2019,,,,"I was thinking 'bout killing myself, don't you mind ? 
Mariée à ma femme @Taenoush",,http://pbs.twimg.com/profile_images/1203177390572277765/OhJ_n8sm_bigger.jpg,916,732,Alex ♡ ³⁶⁵,134340,,,,1
1206540223431270400,Ta pas intérêt à me tromper sinon je demande le divorce 👀😂😂💜 @parkjsaturnsah,<[2019-12-16T11:43:32.006Z]>,Tweet,,,,,,,Mon Dec 16 12:43:00 CET 2019,fr,false,,,,,,,,,,,,1
